id,node_type
62,<operator>.logicalOr DOWN
44,<operator>.modulo DOWN
59,<operator>.division UP
21,BLOCK UP
17,METHOD DOWN
22,RETURN DOWN
23,<operator>.shiftLeft UP
35,ForStatement UP
10,LITERAL DOWN
56,<operator>.greaterThan DOWN
12,TYPE_FULL_NAME DOWN
29,<operator>.minus DOWN
9,CALL DOWN
46,WhileStatement UP
15,METHOD_RETURN UP
48,<operator>.logicalNot DOWN
26,<operator>.lessThan DOWN
53,<operator>.computedMemberAccess UP
50,<operator>.multiplication DOWN
8,CALL UP
31,<operator>.assignment UP
30,<operator>.minus UP
4,NAME DOWN
20,LOCAL DOWN
45,<operator>.logicalNot UP
66,<operator>.indirection UP
49,<operator>.multiplication UP
6,IDENTIFIER DOWN
63,ElseStatement DOWN
38,<operator>.preIncrement UP
27,ConditionalExpression UP
34,<operator>.lessEqualsThan DOWN
68,<operator>.subtraction DOWN
24,<operator>.shiftLeft DOWN
40,<operator>.arithmeticShiftRight DOWN
1,TYPE_FULL_NAME UP
13,LITERAL UP
52,<operator>.addition DOWN
58,IfStatement DOWN
42,<operator>.equals DOWN
47,WhileStatement DOWN
14,<operator>.addressOf UP
43,<operator>.modulo UP
7,NAME UP
39,<operator>.arithmeticShiftRight UP
67,<operator>.subtraction UP
25,<operator>.lessThan UP
54,<operator>.computedMemberAccess DOWN
32,<operator>.assignment DOWN
3,METHOD_PARAMETER_IN DOWN
64,ElseStatement UP
18,BLOCK DOWN
61,<operator>.logicalOr UP
16,METHOD UP
36,ForStatement DOWN
19,LOCAL UP
2,METHOD_PARAMETER_IN UP
33,<operator>.lessEqualsThan UP
5,IDENTIFIER UP
51,<operator>.addition UP
69,<operator>.assignmentPlus UP
28,ConditionalExpression DOWN
70,<operator>.assignmentPlus DOWN
37,<operator>.preIncrement DOWN
57,IfStatement UP
65,<operator>.indirection DOWN
41,<operator>.equals UP
55,<operator>.greaterThan UP
60,<operator>.division DOWN
11,<operator>.addressOf DOWN
