id,path
110,1 5 8 9 6 4
535,7 8 23 23 21 18 36 32 6 4
350,7 5 25 35 36 37 6 12
638,7 8 8 8 21 18 24 6 12
538,1 5 25 27 28 6 12
111,1 5 8 9 6 12
639,7 8 8 8 21 18 24 6 4
752,7 5 49 67 31 21 18 32 50 6 12
128,1 5 25 27 28 6 4
245,7 5 41 42 10
806,7 8 25 57 58 18 9 4
122,7 16 17 18 9 6 12
349,7 5 25 35 36 37 6 4
515,7 5 23 23 23 21 18 32 62 56 6 12
615,1 5 23 21 57 58 63 58 42 6 12
855,13 23 24 54 6 4
340,7 5 31 35 36 26 6 4
854,13 23 24 54 6 12
121,7 16 17 18 9 6 4
341,7 5 31 35 36 26 6 12
504,1 5 31 21 18 32 10
591,7 8 8 9 9 4
736,1 19 21 18 40 40 40 6 4
333,1 5 53 55 56 54 6 4
753,7 5 49 67 31 21 18 32 50 6 4
204,7 8 23 23 21 18 36 32 6 12
616,1 5 23 21 57 58 63 58 42 6 4
679,7 5 59 60 6 12
334,1 5 53 55 56 54 6 12
166,1 5 31 35 36 34 6 12
345,7 5 51 31 35 36 26 6 12
165,1 5 31 35 36 34 6 4
305,1 15 16 17 18 22 50 6 4
143,7 2 16 17 18 22 28 26 10
45,7 5 14 8 21 18 22 6 12
344,7 5 51 31 35 36 26 6 4
827,7 5 31 21 18 47 48 9 4
46,7 5 14 8 21 18 22 6 4
336,7 5 53 55 57 58 18 37 6 4
521,13 23 23 23 21 18 32 6 12
337,7 5 53 55 57 58 18 37 6 12
520,13 23 23 23 21 18 32 6 4
310,7 2 16 17 18 22 50 6 12
842,7 5 8 21 18 9 4
379,13 31 21 18 36 26 6 12
311,7 2 16 17 18 22 50 6 4
380,13 31 21 18 36 26 6 4
863,7 5 25 35 36 18 24 6 12
815,7 8 55 57 58 18 9 4
812,7 8 21 57 58 63 18 9 4
599,1 5 41 57 58 18 24 10
803,7 5 38 21 18 9 4
224,7 8 21 35 21 18 22 10
826,1 5 31 21 18 47 48 9 4
308,1 2 16 17 18 22 50 6 12
524,7 5 55 61 31 21 18 58 6 4
643,7 5 23 21 18 32 6 4
552,1 5 41 57 58 18 9 6 12
309,1 2 16 17 18 22 50 6 4
370,7 19 21 18 32 10
606,13 41 57 58 18 24 10
170,13 31 35 36 34 6 12
446,7 5 55 56 50 60 6 12
70,1 2 16 17 18 20 4
675,1 5 31 32 68 6 4
304,1 15 16 17 18 22 50 6 12
824,7 19 21 18 47 48 9 4
708,7 5 69 70 60 52 10
178,7 5 33 35 36 18 9 4
342,1 5 51 31 35 36 26 6 4
722,1 5 38 35 36 18 70 60 6 4
584,1 5 38 35 36 18 58 42 6 12
107,7 8 9 6 12
169,13 31 35 36 34 6 4
142,1 2 16 17 18 22 28 26 10
343,1 5 51 31 35 36 26 6 12
447,7 5 55 56 50 60 6 4
723,1 5 38 35 36 18 70 60 6 12
492,7 5 39 21 18 36 26 6 4
106,7 8 9 6 4
661,7 5 31 32 68 50 6 12
670,7 5 67 68 6 4
833,7 2 16 17 18 32 10
102,7 16 17 18 24 6 12
493,7 5 39 21 18 36 26 6 12
676,1 5 31 32 68 6 12
660,7 5 31 32 68 50 6 4
69,7 16 17 18 24 6 4
491,1 5 39 21 18 36 26 6 4
71,1 2 16 17 18 20 12
548,1 5 41 57 58 18 9 6 4
862,7 5 25 35 36 18 24 6 4
327,7 5 53 54 6 4
503,1 5 8 31 21 18 32 10
754,1 5 49 67 31 21 18 32 6 4
821,7 8 21 57 58 63 58 18 9 4
541,7 5 33 34 10
588,7 8 9 9 4
420,13 59 55 57 58 18 37 6 12
427,13 31 35 36 26 60 10
34,1 19 21 18 9 11 6 4
551,7 5 41 57 58 18 9 6 12
39,7 19 21 18 9 11 6 12
35,1 19 21 18 9 11 6 12
550,7 5 41 57 58 18 9 6 4
568,13 33 35 36 18 40 6 12
38,7 19 21 18 9 11 6 4
42,7 8 21 18 22 6 4
567,13 33 35 36 18 40 6 4
41,7 8 21 18 22 6 12
725,7 5 38 35 36 18 70 6 12
816,7 8 55 57 58 63 58 26 9 4
829,1 2 16 17 18 32 6 12
435,1 5 55 56 50 6 12
724,7 5 38 35 36 18 70 6 4
811,7 8 21 57 58 63 18 37 6 4
672,1 5 67 68 6 4
528,13 23 21 57 21 18 24 6 12
671,1 5 67 68 6 12
424,1 5 31 35 36 26 60 6 4
15,7 16 17 3 12
160,7 5 31 32 10
383,7 5 39 40 54 6 12
235,7 19 21 18 40 6 4
16,7 16 17 3 4
830,1 2 16 17 18 32 6 4
