id,path
24,1 2 3 6 15 16 21 22 12 8
32,20 6 7 8
39,1 6 15 16 7 18
41,20 6 15 16 21 22 12 23
25,1 2 3 6 15 16 21 22 12 13
8,14 15 16 18
5,10 11 12 13
23,1 2 3 6 15 16 21 22 12 23
19,1 15 16 7 4 5
15,20 15 16 7 4 5
22,1 15 16 21 22 12 8
7,14 15 16 17
3,9 3 6 7 8
14,20 15 16 7 4 19 8
2,1 2 3 6 7 8
11,14 15 16 7 4 5
40,1 6 15 16 7 8
16,20 15 16 7 8
1,1 2 3 4 5
17,20 15 16 21 22 12 23
6,1 11 12 13
13,20 15 16 8
37,9 3 6 15 16 7 18
34,1 15 16 7 18
21,1 15 16 21 22 12 23
26,9 3 6 15 16 21 22 12 23
31,1 6 15 16 21 22 12 13
33,20 15 16 7 18
20,1 15 16 7 8
30,1 6 15 16 21 22 12 8
36,1 2 3 6 15 16 7 8
4,10 11 12 8
9,14 15 16 8
12,14 15 16 7 8
28,9 3 6 15 16 21 22 12 13
43,20 6 15 16 21 22 12 13
42,20 6 15 16 21 22 12 8
10,14 15 16 7 4 19 8
18,1 15 16 7 4 19 8
27,9 3 6 15 16 21 22 12 8
29,1 6 15 16 21 22 12 23
35,1 2 3 6 15 16 7 18
38,9 3 6 15 16 7 8
