id,node_type
36,NAME UP
26,suite UP
4,COMMA DOWN
19,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
5,tfpdef|NAME DOWN
37,COLON DOWN
13,arglist DOWN
2,typedargslist UP
15,trailer UP
25,NEWLINE UP
29,atom|NAME DOWN
20,OPEN_PAREN DOWN
22,stmt|simple_stmt DOWN
8,parameters UP
35,NAME DOWN
14,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
30,INDENT UP
16,trailer DOWN
18,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
1,tfpdef|NAME UP
23,NEWLINE DOWN
7,OPEN_PAREN UP
10,CLOSE_PAREN DOWN
17,atom|NAME UP
9,parameters DOWN
28,INDENT DOWN
11,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
31,DEDENT DOWN
38,COLON UP
3,typedargslist DOWN
21,stmt|simple_stmt UP
33,stmt|compound_stmt|funcdef UP
24,CLOSE_PAREN UP
27,suite DOWN
6,COMMA UP
32,DEF UP
34,stmt|compound_stmt|funcdef DOWN
12,arglist UP
