id,path
27,25 26 27 22 19 16 13 4
33,6 12 15 18 21 26 27 31
8,6 2 8 9 10
30,30 26 27 22 19 16 13 14
4,6 2 3 4
26,25 26 27 22 19 16 13 14
3,6 2 3 5
28,30 26 27 22 19 29
32,11 12 15 18 21 26 27 31
45,1 2 8 33 34 27 23
31,30 26 27 22 19 16 13 4
17,17 18 19 16 20
48,1 2 8 33 34 27 28
35,25 21 26 27 31
36,32 33 34 35
52,24 8 33 34 27 28
9,11 12 13 4
20,6 12 15 18 21 22 23
49,1 2 8 33 34 27 22 19 29
15,11 12 15 16 10
41,36 33 34 9 3 5
42,36 33 34 9 3 4
34,24 15 18 21 26 27 31
51,24 8 33 34 27 23
25,25 26 27 22 19 16 20
54,24 8 33 34 27 22 19 16 20
14,7 15 16 13 4
7,1 2 8 9 10
44,1 2 8 33 34 37
2,1 2 3 5
22,24 15 18 21 22 23
37,32 33 34 9 20
1,1 2 3 4
12,6 12 13 4
18,17 18 19 16 13 14
10,11 12 13 14
5,7 8 9 3 5
6,7 8 9 3 4
46,6 2 8 33 34 27 23
50,24 8 33 34 37
53,24 8 33 34 27 22 19 29
55,38 33 34 27 23
23,25 26 27 28
43,6 2 8 33 34 37
56,38 33 34 27 28
58,38 33 34 27 22 19 16 20
47,6 2 8 33 34 27 28
57,38 33 34 27 22 19 29
21,11 12 15 18 21 22 23
38,32 33 34 9 3 5
39,32 33 34 9 3 4
16,6 12 15 16 10
24,25 26 27 22 19 29
40,36 33 34 9 20
13,7 15 16 13 14
11,6 12 13 14
19,17 18 19 16 13 4
29,30 26 27 22 19 16 20
