id,node_type
41,<operator>.minus DOWN
72,ElseStatement UP
12,CALL UP
42,<operator>.minus UP
10,IDENTIFIER DOWN
49,<operator>.logicalNot UP
74,<operator>.indirection UP
52,<operator>.logicalNot DOWN
73,<operator>.indirection DOWN
78,<operator>.assignmentPlus DOWN
16,RETURN DOWN
54,<operator>.arithmeticShiftRight DOWN
63,<operator>.greaterThan UP
77,<operator>.assignmentPlus UP
9,IDENTIFIER UP
13,CALL DOWN
58,RETURN UP
44,<operator>.multiplication DOWN
47,<operator>.modulo UP
2,TYPE_DECL UP
20,LITERAL DOWN
3,TYPE_DECL DOWN
22,LITERAL UP
48,<operator>.modulo DOWN
43,<operator>.multiplication UP
64,<operator>.greaterThan DOWN
36,ALIAS_TYPE_FULL_NAME DOWN
26,<operator>.shiftLeft UP
76,<operator>.subtraction DOWN
65,IfStatement UP
27,<operator>.shiftLeft DOWN
37,<operator>.lessThan UP
38,<operator>.lessThan DOWN
75,<operator>.subtraction UP
60,<operator>.addition DOWN
53,<operator>.arithmeticShiftRight UP
5,NAME UP
6,LOCAL UP
1,ALIAS_TYPE_FULL_NAME UP
7,LOCAL DOWN
17,METHOD_RETURN UP
4,NAME DOWN
57,METHOD_RETURN DOWN
59,<operator>.addition UP
71,ElseStatement DOWN
56,NAMESPACE_BLOCK DOWN
61,<operator>.computedMemberAccess UP
24,METHOD_PARAMETER_IN UP
29,<operator>.assignment DOWN
30,<operator>.lessEqualsThan UP
31,<operator>.lessEqualsThan DOWN
51,WhileStatement DOWN
25,METHOD_PARAMETER_IN DOWN
28,<operator>.assignment UP
55,NAMESPACE_BLOCK UP
62,<operator>.computedMemberAccess DOWN
50,WhileStatement UP
32,ForStatement UP
66,IfStatement DOWN
33,ForStatement DOWN
15,BLOCK DOWN
45,<operator>.equals UP
46,<operator>.equals DOWN
14,BLOCK UP
11,TYPE_FULL_NAME UP
8,TYPE_FULL_NAME DOWN
67,<operator>.division UP
18,METHOD UP
34,<operator>.preIncrement DOWN
35,<operator>.preIncrement UP
40,ConditionalExpression DOWN
68,<operator>.division DOWN
39,ConditionalExpression UP
70,<operator>.logicalOr DOWN
69,<operator>.logicalOr UP
21,<operator>.addressOf DOWN
23,<operator>.addressOf UP
19,METHOD DOWN
