id,path
281,11 6 14 15 51 52 46 20
646,11 9 45 46 10 8
647,11 9 45 46 10 4
1009,5 12 14 15 29 13 4
711,22 45 65 66 71 15 27 10 4
645,5 9 30 31 20
442,11 9 35 32 33 15 33 29 10 8
443,11 9 35 32 33 15 33 29 10 4
292,11 24 18 19 15 51 52 46 20
712,22 45 65 66 71 15 27 10 8
595,22 28 14 15 29 20
947,11 9 35 14 65 66 71 66 15 13 4
744,5 12 12 12 14 15 27 27 27 10 8
345,11 9 12 14 18 55 56 19 4
722,5 9 26 14 65 66 71 66 46 10 8
723,5 9 26 14 65 66 71 66 46 10 4
755,5 9 28 14 15 66 46 10 4
449,11 6 14 15 29 20
390,5 9 58 14 18 55 56 19 15 13 4
1003,5 12 12 14 15 13 4
558,11 9 65 66 15 27 10 8
247,11 9 47 48 10 4
743,5 12 12 12 14 15 27 27 27 10 4
559,11 9 65 66 15 27 10 4
246,11 9 47 48 10 8
81,11 9 26 27 27 13 10 8
210,11 9 37 38 20
936,5 12 37 65 66 71 15 34 10 8
921,5 9 12 14 15 27 10 4
944,5 12 63 65 66 71 66 38 13 4
1023,11 9 12 28 14 15 27 27 20
1041,5 24 18 19 15 29 20
150,5 9 28 14 15 33 31 10 8
754,5 9 28 14 15 66 46 10 8
399,5 9 59 60 20
641,5 9 28 14 15 33 31 10 4
935,5 12 37 65 66 71 15 34 10 4
250,5 9 28 29 48 10 4
742,5 12 12 12 14 15 27 27 20
71,11 24 18 19 15 13 10 4
1024,5 9 12 28 14 15 27 27 20
870,11 9 53 53 53 14 15 29 76 44 10 4
922,5 9 12 14 15 27 10 8
64,11 24 18 19 15 13 10 8
82,11 9 26 27 27 13 10 4
251,5 9 28 29 48 10 8
871,11 9 53 53 53 14 15 29 76 44 10 8
710,22 45 65 66 15 27 20
506,22 28 32 33 38 68 20
917,5 12 14 15 27 10 4
195,5 24 18 19 15 27 27 20
859,11 6 14 15 54 54 10 4
650,11 9 45 65 66 15 13 4
3,5 9 10 8
149,5 9 28 14 15 33 29 20
688,11 9 35 32 33 15 66 46 10 4
918,5 12 14 15 27 10 8
820,11 9 28 29 13 13 13 4
860,11 6 14 15 54 54 10 8
361,11 9 26 14 18 55 56 19 57 8
847,5 9 35 32 33 15 78 10 4
428,22 59 28 32 33 34 10 8
575,11 9 53 14 15 33 29 10 8
846,5 9 35 32 33 15 78 10 8
658,11 9 53 14 15 66 46 10 8
408,5 9 61 62 10 4
414,11 9 61 63 64 62 10 8
522,22 43 44 68 10 4
407,5 9 61 62 10 8
413,11 9 61 63 64 62 10 4
521,22 43 44 68 10 8
574,11 9 53 14 15 33 29 10 4
144,11 9 28 14 15 33 29 10 8
130,5 12 26 26 14 15 29 10 8
145,11 9 28 14 15 33 29 10 4
136,5 12 26 26 14 15 29 10 4
659,11 9 53 14 15 66 46 10 4
331,11 9 58 14 18 55 56 19 57 8
966,5 9 53 14 15 13 10 8
127,5 6 14 15 27 27 13 4
319,5 2 55 56 19 57 8
965,5 9 53 14 15 13 10 4
147,5 9 28 14 15 33 29 10 8
80,11 9 26 27 27 13 4
916,22 26 26 26 14 15 13 10 8
137,5 12 26 26 14 15 29 13 4
148,5 9 28 14 15 33 29 10 4
205,5 24 18 19 15 13 21 10 8
546,11 9 28 29 70 64 10 8
915,22 26 26 26 14 15 13 10 4
373,1 2 55 56 3 36
760,5 12 28 14 15 66 46 20
545,11 9 28 29 70 64 10 4
751,11 9 28 14 15 66 46 10 8
984,5 9 12 14 32 14 15 33 29 10 4
992,5 9 12 14 32 14 15 33 29 10 8
1037,5 9 26 26 14 15 27 10 8
489,5 9 61 63 64 68 10 8
1008,5 12 14 15 29 10 4
490,5 9 61 63 64 68 10 4
851,11 9 35 32 33 15 78 10 4
206,5 24 18 19 15 13 21 10 4
752,11 9 28 14 15 66 46 10 4
573,5 9 53 14 15 33 29 10 8
308,11 9 53 14 15 16 10 8
229,5 24 18 19 15 16 40 38 20
874,11 9 43 75 28 14 15 29 10 8
307,11 9 53 14 15 16 10 4
1007,5 12 14 15 29 10 8
845,11 9 37 32 33 15 78 68 10 4
873,11 9 43 75 28 14 15 29 10 4
668,22 30 32 33 34 10 8
36,22 12 13 21 10 4
1036,5 9 26 26 14 15 27 10 4
572,5 9 53 14 15 33 29 10 4
669,22 30 32 33 34 10 4
37,22 12 13 21 10 8
925,11 9 26 27 27 13 20
192,5 18 19 15 27 27 20
316,1 2 55 56 19 4
19,5 9 12 14 15 16 10 4
22,11 17 18 19 4
18,5 9 12 14 15 16 10 8
338,22 12 14 18 55 56 19 57 8
850,11 9 35 32 33 15 78 10 8
656,5 9 53 14 15 66 46 10 8
990,11 9 12 14 32 14 15 33 29 20
863,11 9 53 53 14 15 29 10 4
657,5 9 53 14 15 66 46 10 4
757,5 9 28 14 15 66 15 27 10 8
142,22 12 26 26 14 15 33 29 10 8
17,5 12 14 15 16 10 8
1000,5 12 14 32 14 15 13 13 4
535,22 43 63 69 70 64 44 20
45,5 12 14 15 16 10 4
1043,22 58 14 18 55 56 19 15 7 8
580,5 9 53 14 15 33 38 10 4
355,22 58 14 18 55 56 19 15 7 4
579,5 9 53 14 15 33 38 10 8
666,11 9 30 32 33 15 54 10 4
988,5 12 14 32 14 15 33 29 10 8
667,11 9 30 32 33 15 54 10 8
987,5 12 14 32 14 15 33 29 10 4
661,5 9 28 32 33 31 20
143,22 12 26 26 14 15 33 29 10 4
609,22 26 26 26 14 15 29 70 64 10 4
983,11 9 53 14 15 33 38 10 4
1035,11 9 26 26 14 15 27 10 4
610,22 26 26 26 14 15 29 70 64 10 8
746,11 9 26 26 26 14 15 29 13 4
804,5 9 67 68 10 8
803,5 9 67 68 10 4
577,11 9 53 14 15 33 38 10 8
829,11 9 67 68 60 20
738,5 9 12 12 14 15 27 27 20
695,5 12 12 13 13 4
183,11 9 26 26 26 14 15 27 10 8
619,22 26 14 72 65 14 15 27 10 4
665,5 9 30 32 33 15 54 10 4
1004,5 12 12 14 15 13 13 4
184,11 9 26 26 26 14 15 27 10 4
618,22 26 14 72 65 14 15 27 10 8
687,5 9 30 32 33 15 54 10 8
348,5 9 58 14 18 55 56 19 15 7 4
337,5 9 58 14 18 55 56 19 15 7 8
299,11 9 53 54 10 4
764,22 12 14 18 55 56 3 36
120,5 6 14 15 27 10 4
298,11 9 53 54 10 8
119,5 6 14 15 27 10 8
343,5 12 14 18 55 56 19 57 8
599,22 26 26 14 15 29 10 4
598,22 26 26 14 15 29 10 8
590,11 9 12 28 14 15 29 20
1044,22 58 14 18 55 56 19 15 13 4
96,11 9 28 32 33 31 10 4
766,5 9 26 14 18 55 56 19 15 7 4
544,5 9 43 63 69 70 64 44 68 10 4
95,11 9 28 32 33 31 10 8
543,5 9 43 63 69 70 64 44 68 10 8
932,5 12 14 15 13 4
603,5 9 26 26 26 14 15 29 10 8
785,5 9 43 75 76 44 10 8
584,5 12 28 14 15 29 20
604,5 9 26 26 26 14 15 29 10 4
174,5 9 26 27 27 27 10 4
364,5 9 26 14 18 55 56 19 4
763,5 9 53 14 18 55 56 19 15 7 4
173,5 9 26 27 27 27 10 8
716,22 45 65 66 15 27 73 13 4
634,5 9 53 14 18 55 56 19 15 7 8
102,11 9 30 32 33 34 10 4
279,11 6 14 15 51 52 46 10 4
974,11 9 12 14 15 13 10 8
451,5 6 14 15 29 20
280,11 6 14 15 51 52 46 10 8
975,11 9 12 14 15 13 10 4
16,11 6 14 15 13 10 8
671,22 30 32 33 15 54 10 8
717,22 45 65 66 71 66 46 10 8
15,11 6 14 15 13 10 4
172,5 9 26 27 27 20
670,22 30 32 33 15 54 10 4
500,22 67 63 65 66 15 34 10 4
103,11 9 30 32 33 34 10 8
718,22 45 65 66 71 66 46 10 4
362,11 9 26 14 18 55 56 19 4
276,5 6 14 15 51 52 46 10 8
186,5 9 26 26 26 14 15 27 10 4
275,5 6 14 15 51 52 46 10 4
463,11 9 53 54 62 10 8
781,5 9 43 75 76 44 10 4
930,5 9 35 14 15 13 4
956,22 28 14 15 51 52 13 4
462,11 9 53 54 62 10 4
600,11 9 26 26 26 14 15 29 10 8
735,11 9 12 12 14 15 27 27 20
