id,node_type
30,SEMI
2,typeDeclaration
5,CLASS
29,expressionList|expression|primary|literal|STRING_LITERAL
4,classDeclaration
33,typeDeclaration|classDeclaration
3,classOrInterfaceModifier|PUBLIC
13,typeTypeOrVoid|VOID
9,classBodyDeclaration
11,modifier|classOrInterfaceModifier|STATIC
26,expression|primary|IDENTIFIER
34,classBodyDeclaration|memberDeclaration|methodDeclaration
16,formalParameterList|formalParameter
7,classBody
6,IDENTIFIER
32,EOF
36,formalParameter
24,blockStatement|statement
37,COMMA
23,methodBody|block
25,expression
17,typeType
18,classOrInterfaceType|IDENTIFIER
15,LPAREN
27,DOT
22,RPAREN
35,formalParameterList
20,RBRACK
38,typeType|primitiveType|INT
1,compilationUnit
21,variableDeclaratorId|IDENTIFIER
31,RBRACE
19,LBRACK
14,formalParameters
10,modifier|classOrInterfaceModifier|PUBLIC
12,memberDeclaration|methodDeclaration
8,LBRACE
28,methodCall
