id,path
38,1 15 16 19 20 13 21
7,1 12 13 14
44,1 22 23 23 16 18
24,1 6 15 16 7 18
35,1 22 23 16 7 4 5
53,28 12 24 25 19 26 27
54,10 15 16 7 17 8
50,1 2 6 7 8
28,1 6 15 16 19 20 13 14
4,10 6 7 8
51,11 12 24 25 19 26 27
27,1 6 15 16 19 20 13 8
34,1 22 23 16 7 4 17 8
45,1 22 23 23 16 8
31,10 6 15 16 19 20 13 14
52,1 12 24 25 19 26 27
3,9 3 6 7 8
25,1 6 15 16 7 8
26,1 6 15 16 19 20 13 21
29,10 6 15 16 19 20 13 21
64,1 22 23 16 7 18
9,10 15 16 7 4 17 8
30,10 6 15 16 19 20 13 8
49,1 6 15 22 22 23 16 8
62,1 2 6 15 16 19 26 27
47,9 3 6 15 22 22 23 16 18
18,1 2 3 6 15 16 7 8
36,1 22 23 16 7 8
57,10 6 15 16 7 8
5,11 12 13 8
63,1 6 15 16 19 26 27
65,1 22 23 16 7 17 8
48,1 6 15 22 22 23 16 18
59,1 2 6 15 16 19 20 13 21
60,1 2 6 15 16 19 20 13 8
17,1 2 3 6 15 16 7 18
43,1 22 23 23 8
61,1 2 6 15 16 19 20 13 14
22,9 3 6 15 16 19 20 13 21
55,1 15 16 7 17 8
6,11 12 13 14
14,1 15 16 7 4 5
42,9 3 6 15 16 19 20 13 14
33,1 22 23 16 8
23,9 3 6 15 16 19 20 13 8
2,1 2 3 6 7 8
1,1 2 3 4 5
40,1 2 3 6 15 16 19 20 13 8
11,10 15 16 7 8
20,9 3 6 15 16 7 18
16,1 15 16 7 18
58,1 6 15 16 7 17 8
15,1 15 16 7 8
41,1 2 3 6 15 16 19 20 13 14
8,10 15 16 8
19,1 2 3 6 15 16 19 20 13 21
32,1 22 23 16 18
10,10 15 16 7 4 5
13,1 15 16 7 4 17 8
37,10 15 16 19 20 13 21
39,1 15 16 19 20 13 8
46,1 22 23 23 16 7 4 5
56,10 6 15 16 7 17 8
12,10 15 16 7 18
21,9 3 6 15 16 7 8
