id,node_type
22,TypeDeclaration UP
5,Dimension DOWN
2,SimpleType UP
24,ExpressionStatement UP
10,PrimitiveType UP
13,MethodInvocation DOWN
15,MethodDeclaration UP
3,ArrayType UP
19,Block DOWN
8,SimpleName DOWN
27,NumberLiteral DOWN
20,ExpressionStatement DOWN
21,QualifiedName DOWN
12,MethodInvocation UP
16,MethodDeclaration DOWN
14,StringLiteral DOWN
7,SingleVariableDeclaration DOWN
4,ArrayType DOWN
11,QualifiedName UP
17,SimpleType DOWN
25,Block UP
9,Dimension UP
18,PrimitiveType DOWN
1,SimpleName UP
23,TypeDeclaration DOWN
28,StringLiteral UP
26,ReturnStatement DOWN
6,SingleVariableDeclaration UP
