id,path
33,1 15 16 19 20 13 21
7,1 12 13 14
24,1 6 15 16 7 18
40,1 12 22 23 19 24 25
42,10 15 16 7 17 8
38,1 2 6 7 8
28,1 6 15 16 19 20 13 14
4,10 6 7 8
27,1 6 15 16 19 20 13 8
39,11 12 22 23 19 24 25
31,10 6 15 16 19 20 13 14
3,9 3 6 7 8
25,1 6 15 16 7 8
26,1 6 15 16 19 20 13 21
41,26 12 22 23 19 24 25
29,10 6 15 16 19 20 13 21
9,10 15 16 7 4 17 8
30,10 6 15 16 19 20 13 8
18,1 2 3 6 15 16 7 8
45,10 6 15 16 7 8
5,11 12 13 8
47,1 2 6 15 16 19 20 13 21
48,1 2 6 15 16 19 20 13 8
17,1 2 3 6 15 16 7 18
49,1 2 6 15 16 19 20 13 14
22,9 3 6 15 16 19 20 13 21
43,1 15 16 7 17 8
6,11 12 13 14
14,1 15 16 7 4 5
37,9 3 6 15 16 19 20 13 14
23,9 3 6 15 16 19 20 13 8
2,1 2 3 6 7 8
1,1 2 3 4 5
35,1 2 3 6 15 16 19 20 13 8
11,10 15 16 7 8
20,9 3 6 15 16 7 18
16,1 15 16 7 18
50,1 2 6 15 16 19 24 25
46,1 6 15 16 7 17 8
15,1 15 16 7 8
36,1 2 3 6 15 16 19 20 13 14
8,10 15 16 8
19,1 2 3 6 15 16 19 20 13 21
10,10 15 16 7 4 5
13,1 15 16 7 4 17 8
32,10 15 16 19 20 13 21
51,1 6 15 16 19 24 25
34,1 15 16 19 20 13 8
44,10 6 15 16 7 17 8
12,10 15 16 7 18
21,9 3 6 15 16 7 8
