id,node_type
4,Comma DOWN
6,Comma UP
45,singleExpression|literal|numericLiteral|DecimalLiteral DOWN
46,singleExpression|literal|numericLiteral|DecimalLiteral UP
36,OpenBrace DOWN
39,OpenBrace UP
33,OpenParen DOWN
35,OpenParen UP
51,singleExpression|literal|StringLiteral DOWN
52,singleExpression|literal|StringLiteral UP
28,functionBody|sourceElements UP
29,functionBody|sourceElements DOWN
53,sourceElements UP
21,Identifier DOWN
5,formalParameterArg|Identifier DOWN
11,singleExpression|Identifier DOWN
56,program DOWN
32,Function UP
31,eos|SemiColon UP
50,sourceElement|statement|expressionStatement DOWN
30,Return DOWN
15,variableDeclarationList|variableDeclaration DOWN
9,singleExpression DOWN
48,expressionSequence|singleExpression DOWN
20,sourceElement|statement|variableStatement DOWN
12,Plus UP
43,arguments UP
44,arguments DOWN
57,EOF DOWN
2,formalParameterList UP
3,formalParameterList DOWN
26,expressionSequence|singleExpression|Identifier DOWN
27,expressionSequence|singleExpression|Identifier UP
24,sourceElement|statement|returnStatement UP
25,sourceElement|statement|returnStatement DOWN
40,CloseBrace DOWN
42,CloseBrace UP
16,Assign DOWN
17,Assign UP
18,varModifier|Var UP
37,varModifier|Var DOWN
34,CloseParen DOWN
38,CloseParen UP
54,sourceElements DOWN
13,Identifier UP
1,formalParameterArg|Identifier UP
7,singleExpression|Identifier UP
55,program UP
41,Function DOWN
22,eos|SemiColon DOWN
49,sourceElement|statement|expressionStatement UP
23,Return UP
14,variableDeclarationList|variableDeclaration UP
8,singleExpression UP
47,expressionSequence|singleExpression UP
19,sourceElement|statement|variableStatement UP
10,Plus DOWN
