id,path
12,18 19 20 15 21
13,18 19 20 15 16
121,31 19 53 54 50 48 44 33
6,12 8 9 11
126,38 43 47 49 53 54 50 48 44 34
96,35 43 44 9 44 4
124,38 43 47 49 53 54 50 48 44 33
113,7 47 48 44 34
101,7 47 48 44 33
19,12 8 14 19 20 22
127,31 49 53 54 50 48 11
107,6 43 8 43 47 49 50 22
28,12 8 14 19 28 29 25 22
56,39 8 9 29 20 15 21
91,7 8 9 44 4
27,12 8 14 19 28 29 25 26
61,31 19 28 8 9 40
21,23 24 25 22
26,12 8 14 19 28 29 25 30
94,35 43 44 9 44 33
72,17 14 15 9 3 4
71,17 14 15 9 3 5
131,31 49 53 54 50 22
93,35 43 44 9 11
115,35 43 47 49 50 22
109,38 43 47 49 50 22
16,13 14 19 20 22
83,35 43 44 34
70,17 14 15 9 33
92,7 8 9 44 34
74,18 19 20 15 9 33
89,7 8 9 44 33
123,38 43 47 49 53 54 50 48 11
73,18 19 20 15 9 41
4,7 8 9 10
25,7 8 14 19 28 29 25 26
5,7 8 9 11
46,6 2 8 9 29 20 37
24,7 8 14 19 28 29 25 30
95,35 43 44 9 44 45
86,46 43 44 34
135,38 43 47 49 53 55 56 57
108,38 43 8 43 47 49 50 22
20,23 24 25 26
69,17 14 15 9 41
85,46 43 44 45
29,7 8 14 19 28 29 25 22
82,35 43 44 4
112,7 47 48 44 51
105,7 47 48 44 9 44 4
15,18 19 20 15 9 10
14,18 19 20 15 9 11
64,31 24 28 8 9 40
110,35 43 44 51
80,42 8 14 19 20 22
47,6 2 8 9 29 20 15 21
90,7 8 9 44 45
81,35 43 44 45
84,46 43 44 4
119,42 8 14 19 53 54 50 48 44 9 11
11,17 14 15 9 10
10,17 14 15 9 11
117,42 8 14 19 53 54 50 48 11
125,38 43 47 49 53 54 50 48 44 51
100,38 43 8 43 44 34
97,35 43 8 43 44 34
103,7 47 48 44 9 44 33
132,7 47 49 53 55 56 57
114,7 47 49 50 22
52,38 8 9 29 20 15 21
48,1 2 8 9 29 20 15 21
60,7 8 14 19 28 8 9 40
111,52 43 44 34
43,1 2 8 9 29 20 37
88,6 43 44 34
3,6 2 3 5
75,18 19 20 15 9 3 5
98,46 43 8 43 44 34
63,27 24 28 8 9 40
134,52 43 47 49 53 55 56 57
31,31 19 28 29 25 26
32,31 19 28 29 25 22
76,31 19 28 8 14 19 20 22
66,13 14 15 9 33
34,32 8 9 3 5
35,32 8 9 3 4
51,38 8 9 29 20 37
17,17 14 19 20 22
30,31 19 28 29 25 30
65,13 14 15 9 41
22,27 24 25 22
39,35 8 9 34
106,46 43 8 43 47 49 50 22
116,52 43 47 49 50 22
45,6 2 8 9 36
44,6 2 8 9 34
55,39 8 9 29 20 37
87,6 43 44 45
9,13 14 15 9 10
104,7 47 48 44 9 44 45
8,13 14 15 9 11
33,32 8 9 33
36,32 8 9 34
49,1 2 8 9 29 20 15 16
37,35 8 9 3 5
38,35 8 9 3 4
50,38 8 9 36
77,23 24 28 8 14 19 20 22
136,31 49 53 55 56 57
129,31 49 53 54 50 48 44 51
118,42 8 14 19 53 54 50 48 44 33
62,23 24 28 8 9 40
78,27 24 28 8 14 19 20 22
2,1 2 3 5
1,1 2 3 4
79,31 24 28 8 14 19 20 22
58,39 8 9 29 20 15 9 11
59,39 8 9 29 20 15 9 10
130,31 49 53 54 50 48 44 34
54,38 8 9 29 20 15 9 11
133,35 43 47 49 53 55 56 57
7,13 14 15 16
57,39 8 9 29 20 15 16
41,1 2 8 9 34
128,31 49 53 54 50 48 44 33
40,35 8 9 36
42,1 2 8 9 36
102,7 47 48 44 9 11
120,31 19 53 54 50 48 11
18,7 8 14 19 20 22
122,31 19 53 54 50 48 44 9 11
99,6 43 8 43 44 34
23,17 14 19 28 29 25 30
68,13 14 15 9 3 4
53,38 8 9 29 20 15 16
67,13 14 15 9 3 5
