id,node_type
31,Label DOWN
1,OpenRoundBracket UP
27,OpenCurlyBracket DOWN
49,Exit DOWN
83,Empty DOWN
124,Foreach DOWN
33,DoubleQuote DOWN
113,Asterisk UP
70,Return UP
109,Percent UP
4,actualArgument|expression|string|SingleQuoteString DOWN
5,CloseRoundBracket DOWN
86,Concaequal DOWN
40,StringPart UP
115,IsSmallerOrEqual UP
23,IsSet UP
75,Require UP
81,BooleanAnd UP
71,If DOWN
39,List DOWN
104,Greater DOWN
67,Less UP
98,IsGreaterOrEqual DOWN
103,Colon UP
59,Array DOWN
45,Echo DOWN
19,IsSet DOWN
21,OpenSquareBracket DOWN
119,DoubleArrow UP
63,For UP
110,Null DOWN
116,Do DOWN
114,IsSmallerOrEqual DOWN
84,Bang UP
99,QuestionMark DOWN
128,Continue DOWN
44,Comma UP
18,If UP
91,Unset DOWN
24,CloseSquareBracket DOWN
46,Echo UP
93,Unset UP
88,While DOWN
90,Ampersand DOWN
123,New UP
102,QuestionMark UP
30,Eq DOWN
61,For DOWN
82,Bang DOWN
80,BooleanConstant UP
42,SemiColon UP
62,Decimal DOWN
122,New DOWN
89,While UP
41,Comma DOWN
58,ObjectOperator UP
29,CloseSquareBracket UP
92,Ampersand UP
52,Exit UP
32,OpenCurlyBracket UP
9,expression|chain|chainOrigin|functionCall DOWN
65,Decimal UP
129,Continue UP
51,Function DOWN
101,Colon DOWN
13,expression DOWN
74,Require DOWN
96,Plus DOWN
8,expression|chain|chainOrigin|functionCall UP
69,Return DOWN
100,IsGreaterOrEqual UP
38,DoubleQuote UP
57,ObjectOperator DOWN
85,Empty UP
37,SemiColon DOWN
125,As DOWN
77,BooleanConstant DOWN
43,List UP
36,Label UP
117,Do UP
35,Eq UP
111,Null UP
14,LogicalOr DOWN
6,actualArgument|expression|string|SingleQuoteString UP
108,Percent DOWN
118,DoubleArrow DOWN
26,OpenSquareBracket UP
60,Array UP
10,OpenRoundBracket DOWN
105,Greater UP
64,Less DOWN
94,Else DOWN
112,Asterisk DOWN
95,Else UP
126,Foreach UP
87,Concaequal UP
16,CloseRoundBracket UP
28,SingleQuoteString UP
15,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Exit DOWN
48,Dot UP
50,CloseCurlyBracket DOWN
17,LogicalOr UP
2,actualArguments|arguments UP
34,StringPart DOWN
107,Minus UP
78,BooleanAnd DOWN
120,RequireOnce DOWN
68,Inc UP
53,CloseCurlyBracket UP
3,actualArguments|arguments DOWN
12,expression UP
20,VarName DOWN
97,Plus UP
47,Dot DOWN
11,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Exit UP
54,Function UP
72,IsNotEq DOWN
56,Global UP
127,As UP
66,Inc DOWN
121,RequireOnce UP
22,SingleQuoteString DOWN
25,VarName UP
76,IsEqual DOWN
79,IsEqual UP
7,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
73,IsNotEq UP
106,Minus DOWN
55,Global DOWN
