id,path
792,110 2 3 16
787,110 2 3 21
1277,11 2 3 141
789,110 2 3 33
1087,66 2 3 97
1211,110 2 3 43
1213,110 2 3 44
1134,132 2 3 13
1137,132 2 3 16
1133,132 2 3 28
1136,132 2 3 22
1135,132 2 3 21
68,24 2 3 17
67,24 2 3 16
262,24 2 3 21
284,24 2 3 22
283,24 2 3 13
900,24 2 3 15
70,24 2 3 5
527,46 2 3 5
69,24 2 3 4
734,46 2 3 4
319,24 2 3 6
1162,46 2 3 7
206,46 2 3 6
532,46 2 3 13
323,24 2 3 51
761,24 2 3 55
930,24 2 3 40
933,66 2 3 103
525,24 2 3 43
1101,24 2 3 45
813,24 2 3 44
402,24 2 3 33
765,24 2 3 35
1347,24 2 3 34
786,110 2 3 4
947,24 2 3 38
1212,110 2 3 5
347,24 2 3 25
788,110 2 3 6
585,24 2 3 27
348,24 2 3 28
738,68 2 3 16
966,24 2 3 83
316,68 2 3 13
523,24 2 3 85
491,24 2 3 87
771,46 2 3 51
940,24 2 3 73
1153,24 2 3 75
442,24 2 3 77
769,68 2 3 5
513,46 2 3 60
943,68 2 3 4
511,46 2 3 59
801,24 2 3 79
314,68 2 3 6
937,68 2 3 33
1086,24 2 3 65
573,46 2 3 63
737,24 2 3 67
324,24 2 3 69
1206,46 2 3 69
905,68 2 3 28
735,46 2 3 67
251,24 2 3 57
898,68 2 3 25
950,46 2 3 73
263,24 2 3 59
315,68 2 3 21
286,24 2 3 60
325,24 2 3 63
1209,46 2 3 75
528,46 2 3 17
512,46 2 3 16
1336,46 2 3 15
510,46 2 3 21
979,24 2 3 119
191,46 2 3 25
755,24 2 3 107
520,46 2 3 22
189,46 2 3 28
957,46 2 3 27
625,24 2 3 97
841,46 2 3 33
658,24 2 3 99
659,24 2 3 100
711,24 2 3 103
192,46 2 3 45
190,46 2 3 44
803,46 2 3 43
1060,24 2 3 95
820,101 2 3 33
1078,101 2 3 35
599,90 2 3 44
598,90 2 3 43
745,101 2 3 25
1183,24 2 3 137
1015,101 2 3 27
1290,101 2 3 28
663,101 2 3 21
791,110 2 3 91
810,101 2 3 22
501,90 2 3 33
1102,24 2 3 129
1292,101 2 3 17
1132,24 2 3 131
750,101 2 3 13
1140,24 2 3 133
670,101 2 3 16
1035,24 2 3 123
1046,24 2 3 125
1167,101 2 3 5
746,101 2 3 6
1065,24 2 3 127
1241,46 2 3 139
1325,101 2 3 8
836,90 2 3 16
891,68 2 3 51
671,101 2 3 4
507,68 2 3 44
1194,46 2 3 83
506,68 2 3 43
503,90 2 3 22
502,90 2 3 21
1003,46 2 3 91
768,68 2 3 60
805,46 2 3 100
804,46 2 3 99
892,68 2 3 63
317,68 2 3 59
500,90 2 3 6
504,90 2 3 5
1123,90 2 3 4
134,37 2 3 4
78,26 2 3 21
661,101 2 3 99
660,101 2 3 100
79,26 2 3 22
89,26 2 3 25
77,26 2 3 13
1234,101 2 3 92
1252,26 2 3 15
1272,101 2 3 85
100,26 2 3 17
99,26 2 3 16
75,26 2 3 5
1214,101 2 3 83
87,26 2 3 4
76,26 2 3 6
203,48 2 3 6
1257,101 2 3 79
1104,48 2 3 4
1085,101 2 3 73
1270,101 2 3 75
1155,101 2 3 69
204,48 2 3 13
132,37 2 3 35
365,26 2 3 51
1298,46 2 3 143
1344,101 2 3 67
170,37 2 3 34
534,26 2 3 52
239,26 2 3 55
825,101 2 3 63
531,26 2 3 43
1294,101 2 3 57
201,26 2 3 45
664,101 2 3 59
620,26 2 3 44
662,101 2 3 60
162,37 2 3 21
687,37 2 3 22
896,26 2 3 35
823,101 2 3 51
1122,90 2 3 63
1225,101 2 3 52
133,37 2 3 16
426,26 2 3 38
835,90 2 3 59
168,26 2 3 40
86,26 2 3 27
1146,134 2 3 88
1181,101 2 3 43
88,26 2 3 28
809,101 2 3 44
131,37 2 3 5
238,26 2 3 33
174,37 2 3 6
778,26 2 3 83
334,70 2 3 21
794,70 2 3 17
333,70 2 3 16
682,37 2 3 59
1160,26 2 3 75
372,70 2 3 13
1286,70 2 3 6
1319,26 2 3 81
897,26 2 3 67
366,26 2 3 69
690,37 2 3 49
338,26 2 3 71
370,70 2 3 33
281,26 2 3 59
906,70 2 3 27
427,26 2 3 60
578,26 2 3 63
371,70 2 3 22
1261,26 2 3 65
135,37 2 3 38
1055,101 2 3 125
1145,134 2 3 21
1152,26 2 3 119
1297,48 2 3 22
1093,48 2 3 21
754,26 2 3 107
1025,101 2 3 121
1043,101 2 3 123
1147,134 2 3 6
1144,134 2 3 13
202,48 2 3 28
1012,26 2 3 99
1092,48 2 3 35
389,70 2 3 5
1296,48 2 3 33
332,70 2 3 4
1013,26 2 3 100
205,48 2 3 40
1143,134 2 3 28
939,70 2 3 83
388,70 2 3 75
419,70 2 3 73
1158,70 2 3 99
1105,48 2 3 129
1159,70 2 3 100
1233,26 2 3 137
1044,26 2 3 123
1056,26 2 3 125
1178,136 2 3 22
1177,136 2 3 21
623,70 2 3 43
1309,48 2 3 91
624,70 2 3 44
1176,136 2 3 33
331,70 2 3 63
579,70 2 3 59
390,70 2 3 60
614,70 2 3 57
141,39 2 3 6
172,39 2 3 5
139,39 2 3 4
1338,50 2 3 6
217,50 2 3 4
928,50 2 3 5
216,50 2 3 16
694,50 2 3 17
929,50 2 3 13
140,39 2 3 38
173,39 2 3 35
171,39 2 3 34
1116,70 2 3 107
180,39 2 3 28
164,39 2 3 25
688,39 2 3 22
163,39 2 3 21
689,39 2 3 17
138,39 2 3 16
142,39 2 3 13
345,72 2 3 22
424,61 2 3 38
925,61 2 3 40
344,72 2 3 21
571,61 2 3 43
1083,39 2 3 63
924,39 2 3 60
683,39 2 3 59
918,61 2 3 31
926,61 2 3 34
458,61 2 3 33
637,61 2 3 35
692,39 2 3 49
268,61 2 3 60
343,72 2 3 33
455,61 2 3 59
341,72 2 3 28
179,39 2 3 43
175,39 2 3 40
522,61 2 3 51
282,61 2 3 6
693,50 2 3 22
269,61 2 3 5
1082,39 2 3 100
219,50 2 3 25
1081,39 2 3 99
218,50 2 3 21
266,61 2 3 4
342,72 2 3 6
456,61 2 3 22
886,116 2 3 6
267,61 2 3 21
870,116 2 3 4
215,50 2 3 35
279,61 2 3 25
572,61 2 3 28
964,61 2 3 27
318,61 2 3 13
265,61 2 3 16
887,116 2 3 13
913,61 2 3 15
1126,39 2 3 75
607,61 2 3 17
814,61 2 3 103
565,94 2 3 59
1179,136 2 3 43
588,61 2 3 95
628,61 2 3 97
1202,61 2 3 100
817,61 2 3 99
719,105 2 3 21
981,61 2 3 119
839,94 2 3 43
840,94 2 3 44
1308,94 2 3 45
564,94 2 3 33
680,94 2 3 22
721,105 2 3 6
612,61 2 3 69
1198,19 2 3 5
729,61 2 3 73
1255,19 2 3 6
718,105 2 3 4
969,94 2 3 28
44,19 2 3 4
46,19 2 3 17
676,94 2 3 16
45,19 2 3 16
397,61 2 3 63
1199,19 2 3 13
672,61 2 3 65
557,94 2 3 21
837,61 2 3 67
563,94 2 3 6
1288,61 2 3 85
677,61 2 3 92
606,61 2 3 91
971,94 2 3 4
469,61 2 3 83
555,94 2 3 5
96,30 2 3 25
720,105 2 3 104
309,30 2 3 22
148,41 2 3 13
195,30 2 3 28
1190,138 2 3 51
582,30 2 3 27
435,41 2 3 16
702,30 2 3 17
346,30 2 3 16
208,30 2 3 21
568,41 2 3 21
708,41 2 3 22
1343,138 2 3 43
430,41 2 3 25
709,41 2 3 27
1009,30 2 3 7
95,30 2 3 6
997,41 2 3 28
110,30 2 3 13
1200,19 2 3 21
1201,19 2 3 22
1096,41 2 3 33
150,41 2 3 34
97,30 2 3 5
112,30 2 3 4
431,41 2 3 38
149,41 2 3 40
770,30 2 3 57
762,30 2 3 55
556,94 2 3 91
558,94 2 3 92
649,30 2 3 59
581,30 2 3 51
970,94 2 3 85
176,30 2 3 40
194,30 2 3 45
193,30 2 3 44
1235,94 2 3 75
638,30 2 3 43
308,30 2 3 33
1268,94 2 3 63
1275,61 2 3 141
111,30 2 3 31
436,41 2 3 4
429,41 2 3 5
147,41 2 3 6
1094,30 2 3 35
177,30 2 3 34
902,19 2 3 60
872,116 2 3 22
1121,30 2 3 88
492,30 2 3 87
359,74 2 3 22
871,116 2 3 21
358,74 2 3 21
873,116 2 3 27
1004,30 2 3 91
1253,19 2 3 99
1254,19 2 3 100
1008,74 2 3 16
917,30 2 3 79
597,30 2 3 85
941,74 2 3 13
777,30 2 3 83
951,30 2 3 73
1188,138 2 3 6
995,41 2 3 91
993,74 2 3 38
1125,74 2 3 35
1331,30 2 3 75
1231,138 2 3 5
357,74 2 3 33
1262,30 2 3 65
574,30 2 3 63
1023,41 2 3 99
1024,41 2 3 100
703,30 2 3 69
731,74 2 3 28
1340,105 2 3 137
948,41 2 3 103
949,41 2 3 104
996,41 2 3 43
998,41 2 3 44
1230,138 2 3 25
1187,138 2 3 21
434,41 2 3 51
1097,41 2 3 55
1189,138 2 3 13
816,30 2 3 104
1171,94 2 3 135
815,30 2 3 103
1007,74 2 3 7
356,74 2 3 6
428,41 2 3 60
355,74 2 3 5
603,74 2 3 4
741,41 2 3 63
1073,30 2 3 97
1342,138 2 3 33
1075,30 2 3 100
1074,30 2 3 99
14,10 2 3 4
15,10 2 3 5
1112,74 2 3 79
13,10 2 3 8
11,10 2 3 6
375,74 2 3 75
12,10 2 3 7
1061,96 2 3 43
1172,30 2 3 135
819,74 2 3 100
818,74 2 3 99
1244,140 2 3 6
1124,74 2 3 97
1247,30 2 3 129
1141,30 2 3 133
994,74 2 3 91
85,10 2 3 28
84,10 2 3 27
121,10 2 3 33
592,96 2 3 28
122,10 2 3 34
136,10 2 3 35
596,96 2 3 21
684,10 2 3 40
137,10 2 3 38
732,74 2 3 43
33,10 2 3 13
35,10 2 3 16
593,96 2 3 13
101,10 2 3 17
34,10 2 3 15
57,10 2 3 21
602,74 2 3 63
1062,96 2 3 5
74,10 2 3 25
595,96 2 3 4
1243,140 2 3 28
58,10 2 3 22
916,74 2 3 59
277,10 2 3 60
280,10 2 3 59
1191,138 2 3 121
1263,10 2 3 65
292,10 2 3 63
233,54 2 3 4
327,10 2 3 69
920,32 2 3 21
1301,74 2 3 143
310,10 2 3 67
116,32 2 3 16
117,32 2 3 17
349,10 2 3 73
339,10 2 3 71
526,10 2 3 44
1099,10 2 3 45
178,10 2 3 43
1232,138 2 3 137
691,10 2 3 49
536,54 2 3 6
115,32 2 3 4
888,10 2 3 52
234,54 2 3 21
921,32 2 3 6
326,10 2 3 51
232,54 2 3 16
646,10 2 3 57
1195,10 2 3 55
560,10 2 3 92
559,10 2 3 91
1138,10 2 3 97
1205,10 2 3 100
1204,10 2 3 99
594,96 2 3 85
882,118 2 3 4
799,10 2 3 103
438,10 2 3 77
376,10 2 3 75
884,118 2 3 6
1318,10 2 3 81
604,10 2 3 79
880,118 2 3 17
946,10 2 3 85
911,10 2 3 83
883,118 2 3 21
922,32 2 3 33
923,32 2 3 34
1333,76 2 3 28
