id,node_type
48,file_input UP
49,file_input DOWN
18,arglist UP
19,arglist DOWN
45,COLON DOWN
47,COLON UP
42,stmt|compound_stmt|if_stmt UP
43,stmt|compound_stmt|if_stmt DOWN
37,INDENT DOWN
39,INDENT UP
40,DEDENT DOWN
53,DEDENT UP
6,ASSIGN UP
23,OPEN_PAREN UP
38,atom|NAME DOWN
36,suite DOWN
16,comp_op|EQUALS UP
13,test|or_test|and_test|not_test|comparison DOWN
1,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
28,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
32,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
15,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
2,small_stmt|expr_stmt UP
3,small_stmt|expr_stmt DOWN
7,stmt|simple_stmt UP
8,stmt|simple_stmt DOWN
52,EOF DOWN
11,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
26,CLOSE_PAREN DOWN
31,CLOSE_PAREN UP
44,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
20,COMMA DOWN
22,COMMA UP
5,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER DOWN
10,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
24,trailer UP
25,trailer DOWN
9,NEWLINE DOWN
34,NEWLINE UP
41,IF UP
51,IF DOWN
17,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
21,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
4,ASSIGN DOWN
27,atom|NAME UP
30,OPEN_PAREN DOWN
35,suite UP
14,comp_op|EQUALS DOWN
12,test|or_test|and_test|not_test|comparison UP
50,testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
29,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
33,arglist|argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
46,expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NUMBER UP
