id,path
86,10 2 7 48 49 8 3 50
60,41 42 43 13 44
58,31 24 28 7 35 36 40
83,6 2 7 48 49 8 3 50
9,16 12 13 15
38,39 35 36 8 29 25 30
53,34 7 35 36 8 29 25 26
72,46 12 42 43 45
108,34 7 35 42 48 49 52
31,33 24 28 7 8 9
32,34 35 36 37
82,1 2 7 48 49 8 3 4
41,17 18 24 28 7 35 36 8 29 38
55,27 28 7 35 36 40
56,23 24 28 7 35 36 40
81,1 2 7 48 49 8 3 50
89,10 2 7 48 49 8 9
74,46 12 42 43 36 37
104,34 7 48 49 43 13 44
49,31 24 28 7 35 36 8 29 25 26
70,16 12 42 43 36 37
7,11 12 13 14
24,23 24 25 32
69,16 12 42 43 36 9
54,34 7 35 36 8 9
8,11 12 13 15
37,39 35 36 8 29 38
25,23 24 25 26
15,23 24 25 19 20
14,23 24 25 19 21
22,17 18 24 28 7 8 9
73,46 12 42 43 36 9
106,34 7 48 49 43 13 15
45,17 18 24 28 7 35 36 8 29 25 32
44,17 18 24 28 7 35 36 8 29 25 30
105,34 7 48 49 43 13 14
94,34 7 48 49 43 51
23,31 24 28 7 8 9
107,34 7 48 49 43 45
17,22 18 24 25 26
36,34 35 36 8 29 25 19 20
51,34 7 35 36 8 29 25 30
34,34 35 36 8 29 25 30
52,34 7 35 36 8 29 25 32
75,46 12 42 43 36 8 29 38
102,10 2 7 48 49 43 13 14
76,46 12 42 43 36 8 29 25 30
35,34 35 36 8 29 25 19 21
103,10 2 7 48 49 43 13 15
47,31 24 28 7 35 36 8 29 25 30
97,6 2 7 48 49 43 51
48,31 24 28 7 35 36 8 29 25 32
92,34 7 48 49 8 3 5
91,34 7 48 49 8 3 4
99,6 2 7 48 49 43 13 14
13,22 18 19 20
46,31 24 28 7 35 36 8 29 38
12,22 18 19 21
20,27 28 29 25 19 20
78,47 42 43 36 37
3,6 2 3 5
101,10 2 7 48 49 43 13 44
100,10 2 7 48 49 43 51
98,6 2 7 48 49 43 13 44
27,27 28 29 25 32
18,27 28 29 25 30
5,6 2 7 8 9
28,27 28 29 25 26
64,41 42 43 36 9
95,1 2 7 48 49 43 51
21,22 18 24 28 7 8 9
80,47 42 43 36 8 29 25 30
19,27 28 29 25 19 21
68,16 12 42 43 45
42,22 18 24 28 7 35 36 8 29 38
16,17 18 24 25 26
39,39 35 36 8 29 25 19 21
40,39 35 36 8 29 25 19 20
2,1 2 3 5
30,23 24 28 7 8 9
67,11 12 42 43 36 37
93,34 7 48 49 8 9
1,1 2 3 4
11,17 18 19 21
88,10 2 7 48 49 8 3 5
43,22 18 24 28 7 35 36 8 29 25 30
87,10 2 7 48 49 8 3 4
10,17 18 19 20
57,33 24 28 7 35 36 40
59,34 7 35 36 40
29,27 28 7 8 9
84,6 2 7 48 49 8 3 4
85,6 2 7 48 49 8 3 5
96,1 2 7 48 49 43 13 44
79,47 42 43 36 8 29 38
61,41 42 43 13 14
66,11 12 42 43 36 9
109,53 35 42 48 49 52
62,41 42 43 13 15
26,33 24 25 26
4,1 2 7 8 9
63,41 42 43 45
33,34 35 36 8 29 38
77,47 42 43 36 9
6,10 2 7 8 9
50,34 7 35 36 8 29 38
71,16 12 42 43 36 8 29 38
90,34 7 48 49 8 3 50
65,11 12 42 43 45
