id,node_type
35,blockStatement|statement UP
36,blockStatement|statement DOWN
46,classBodyDeclaration|memberDeclaration|methodDeclaration UP
47,classBodyDeclaration|memberDeclaration|methodDeclaration DOWN
45,typeTypeOrVoid|VOID UP
11,typeType|primitiveType|INT UP
9,variableDeclaratorId|IDENTIFIER DOWN
27,IDENTIFIER DOWN
50,formalParameterList|formalParameter UP
1,classOrInterfaceType|IDENTIFIER UP
4,LBRACK DOWN
28,DOT UP
30,methodCall UP
42,expression|primary|IDENTIFIER DOWN
19,formalParameters UP
5,RBRACK DOWN
38,RPAREN UP
49,typeType|classOrInterfaceType|IDENTIFIER UP
25,expression DOWN
7,formalParameter UP
8,formalParameter DOWN
18,LPAREN UP
32,LPAREN DOWN
53,expressionList|expression|primary|IDENTIFIER DOWN
54,expressionList|expression|primary|IDENTIFIER UP
12,formalParameterList UP
13,formalParameterList DOWN
39,LBRACE UP
48,LBRACE DOWN
40,methodBody|block UP
41,methodBody|block DOWN
14,COMMA DOWN
17,COMMA UP
55,typeTypeOrVoid|typeType|primitiveType|INT UP
2,typeType UP
3,typeType DOWN
37,SEMI DOWN
44,SEMI UP
33,expressionList|expression|primary|literal|STRING_LITERAL DOWN
34,expressionList|expression|primary|literal|STRING_LITERAL UP
15,typeType|primitiveType|INT DOWN
16,variableDeclaratorId|IDENTIFIER UP
29,IDENTIFIER UP
51,formalParameterList|formalParameter DOWN
6,LBRACK UP
21,classOrInterfaceType|IDENTIFIER DOWN
26,DOT DOWN
31,methodCall DOWN
23,expression|primary|IDENTIFIER UP
20,formalParameters DOWN
10,RBRACK UP
43,RBRACE DOWN
22,RPAREN DOWN
52,typeType|classOrInterfaceType|IDENTIFIER DOWN
24,expression UP
