id,path
86,16 7 12 19 46 47 41 36 25 25 42
10,6 2 7 12 13 14
21,18 19 20 13 8 3 21
32,28 24 25 27
46,29 24 24 25 26
77,29 46 47 20 13 8 3 4
106,54 30 24 35 36 37
78,29 46 47 20 13 8 3 5
111,55 46 47 20 51 9
88,16 7 12 19 46 47 41 36 25 25 27
23,18 19 20 13 8 3 5
51,28 24 25 31 27
97,18 19 20 22
22,18 19 20 13 8 3 4
53,28 24 25 31 33
118,18 19 46 47 41 48
61,39 40 41 36 25 25 26
57,18 30 24 35 36 37
62,39 40 41 36 25 25 27
52,28 24 25 31 32
122,16 50 19 46 47 22
54,28 24 25 31 22
81,17 12 19 46 47 41 48
71,45 46 47 20 32
110,55 46 47 20 51 52
69,44 35 40 41 43
68,38 30 24 35 40 41 43
60,39 40 41 36 25 25 42
102,54 30 31 22
119,49 50 19 46 47 22
75,29 46 47 20 32
124,16 50 19 46 47 41 36 25 25 42
114,29 46 47 20 51 9
50,29 24 24 25 31 22
105,28 24 25 31 53
47,29 24 24 25 31 27
56,29 30 24 35 36 37
125,16 50 19 46 47 41 36 25 25 26
48,29 24 24 25 31 32
49,29 24 24 25 31 33
108,55 46 47 27
93,38 19 46 47 41 36 25 26
43,28 24 24 25 31 27
39,23 24 24 25 26
44,28 24 24 25 31 32
113,29 46 47 20 51 52
80,16 7 12 19 46 47 41 48
30,23 24 25 26
31,23 24 25 27
115,29 46 47 20 22
84,11 7 12 19 46 47 41 36 25 25 42
18,16 7 12 13 8 9
11,6 2 7 12 13 8 15
45,28 24 24 25 31 33
16,16 7 12 13 14
130,38 46 47 41 36 25 25 27
129,38 46 47 41 36 25 25 26
87,16 7 12 19 46 47 41 36 25 25 26
12,6 2 7 12 13 8 9
131,38 46 47 41 36 25 26
103,28 24 24 25 31 53
123,16 50 19 46 47 41 48
95,18 19 20 51 52
112,55 46 47 20 22
117,18 19 46 47 22
38,34 30 31 22
67,34 30 24 35 40 41 43
127,38 46 47 41 48
70,45 46 47 27
24,18 19 20 13 8 9
3,6 2 3 5
8,1 2 7 12 13 14
126,38 19 46 47 22
107,54 30 24 35 40 41 43
42,28 24 24 25 26
17,16 7 12 13 8 15
27,16 7 12 19 20 22
128,38 46 47 41 36 25 25 42
5,6 2 7 8 9
35,29 30 31 22
116,29 46 47 22
79,29 46 47 20 13 8 9
63,39 40 41 36 25 26
13,10 2 7 12 13 14
85,11 7 12 19 46 47 41 36 25 25 26
121,49 50 19 46 47 41 36 25 25 42
37,18 30 31 22
109,55 46 47 20 32
96,18 19 20 51 9
9,1 2 7 12 13 8 15
65,29 30 24 35 40 41 43
59,38 30 24 35 36 37
36,18 30 31 33
40,23 24 24 25 31 27
92,38 19 46 47 41 36 25 25 27
91,38 19 46 47 41 36 25 25 26
94,49 50 51 9
99,16 50 19 20 22
15,10 2 7 12 13 8 9
82,17 12 19 46 47 41 36 25 25 42
100,29 30 31 53
26,10 2 7 12 19 20 22
14,10 2 7 12 13 8 15
41,23 24 24 25 31 32
25,18 19 20 13 14
89,38 19 46 47 41 48
2,1 2 3 5
1,1 2 3 4
7,11 7 8 9
55,28 24 35 36 37
90,38 19 46 47 41 36 25 25 42
98,49 50 19 20 22
64,39 40 41 36 25 31 27
19,17 12 13 8 15
28,17 12 19 20 22
104,29 24 24 25 31 53
58,34 30 24 35 36 37
83,11 7 12 19 46 47 41 48
101,18 30 31 53
66,18 30 24 35 40 41 43
20,17 12 13 8 9
33,29 30 31 32
34,29 30 31 33
4,1 2 7 8 9
73,45 46 47 20 13 8 3 4
6,10 2 7 8 9
74,45 46 47 20 13 8 3 5
29,11 7 12 19 20 22
76,29 46 47 20 13 8 3 21
72,45 46 47 20 13 8 3 21
120,49 50 19 46 47 41 48
