id,node_type
251,actualArgument|expression|arrayCreation UP
8,functionCallName|classConstant UP
24,Eq DOWN
216,assignmentListElement|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
161,formalParameter|variableInitializer DOWN
170,BooleanAnd UP
18,chain|chainOrigin|functionCall DOWN
228,Percent UP
174,innerStatement|statement|returnStatement UP
12,DoubleColon UP
100,QuestionMark UP
152,castOperation|IntType DOWN
75,CloseSquareBracket DOWN
246,innerStatementList|innerStatement|statement|ifStatement DOWN
234,actualArgument|expression|constant|literalConstant|stringConstant|Label UP
260,Continue DOWN
268,assignable|chain DOWN
250,arrayItemList DOWN
104,expression|parentheses DOWN
203,expression|constant|literalConstant|BooleanConstant DOWN
85,innerStatementList|innerStatement|statement|expressionStatement UP
226,constantInititalizer|string|SingleQuoteString UP
94,innerStatement|statement|ifStatement UP
81,parentheses UP
116,innerStatementList DOWN
265,innerStatementList|innerStatement|statement|echoStatement DOWN
236,arrayItemList|arrayItem DOWN
188,Less UP
238,DoubleArrow UP
218,Plus DOWN
51,expression|chain DOWN
219,Plus UP
264,innerStatementList|innerStatement|statement|echoStatement UP
96,OpenCurlyBracket DOWN
117,assignable|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
137,expression|newExpr DOWN
259,innerStatementList|innerStatement|statement|continueStatement DOWN
241,expression|arrayCreation DOWN
41,actualArgument|expression|string|SingleQuoteString DOWN
282,formalParameter DOWN
201,statement|expressionStatement DOWN
5,SemiColon DOWN
134,arguments DOWN
200,statement|expressionStatement UP
32,DoubleQuote UP
274,constantInititalizer|constant|Null UP
261,expressionList|expression|string UP
54,chainOrigin|chainBase|keyedVariable|VarName DOWN
25,Ampersand DOWN
155,Bang DOWN
66,expression|string|SingleQuoteString DOWN
184,forInit|expressionList|expression DOWN
266,Echo DOWN
275,innerStatementList|innerStatement|statement|returnStatement UP
63,actualArgument|expression UP
249,arrayItemList UP
252,actualArgument|expression|arrayCreation DOWN
168,IsNotEq UP
119,statement|ifStatement DOWN
68,expression|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
220,IsGreaterOrEqual DOWN
105,formalParameter|variableInitializer|VarName UP
181,topStatement|functionDeclaration DOWN
11,identifier|Label DOWN
254,List DOWN
112,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Array DOWN
123,If DOWN
163,expression|chain|chainOrigin|chainBase|keyedVariable UP
61,actualArgument|expression|chain DOWN
185,expressionList|expression UP
115,innerStatementList UP
207,While UP
97,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
175,innerStatement|statement|returnStatement DOWN
178,blockStatement DOWN
10,DoubleColon DOWN
205,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Empty UP
17,chain|chainOrigin|functionCall UP
130,expression|constant|literalConstant|stringConstant|Label UP
169,BooleanAnd DOWN
142,innerStatement|statement|foreachStatement UP
48,keyedFieldName|keyedSimpleFieldName|identifier|Label UP
197,Global DOWN
40,Comma DOWN
74,squareCurlyExpression DOWN
121,elseStatement UP
125,CloseCurlyBracket UP
235,arrayItemList|arrayItem UP
56,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
109,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Array UP
217,List UP
14,actualArguments|arguments UP
140,New DOWN
146,chain|chainOrigin|chainBase|keyedVariable|VarName UP
153,castOperation|IntType UP
83,actualArgument|expression|constant|literalConstant|BooleanConstant DOWN
49,chainOrigin|chainBase|keyedVariable|VarName UP
196,For DOWN
111,actualArgument|expression|chain|chainOrigin|functionCall DOWN
89,statement|blockStatement DOWN
160,formalParameter|variableInitializer UP
36,interpolatedStringPart|StringPart DOWN
162,Minus DOWN
103,expression|parentheses UP
132,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|RequireOnce UP
127,LogicalOr UP
45,memberAccess UP
262,expressionList|expression|string DOWN
190,forUpdate|expressionList|expression DOWN
233,actualArgument|expression|constant|literalConstant|stringConstant|Label DOWN
267,assignable|chain UP
223,Greater UP
120,Else UP
245,innerStatementList|innerStatement|statement|ifStatement UP
55,assignmentOperator|Eq UP
71,actualArgument|expression|constant|literalConstant|numericConstant|Decimal UP
180,topStatement|functionDeclaration UP
272,variableInitializer|VarName UP
276,innerStatementList|innerStatement|statement|returnStatement DOWN
107,formalParameterList DOWN
183,forInit|expressionList|expression UP
232,Asterisk UP
248,arrayItem DOWN
60,actualArgument|expression|chain UP
269,formalParameterList|formalParameter UP
149,Foreach DOWN
173,Return UP
86,innerStatementList|innerStatement|statement|expressionStatement DOWN
214,assignmentList UP
167,IsNotEq DOWN
118,statement|ifStatement UP
280,actualArgument|expression|constant|Null UP
