id,path
404,67 22 22 23 131
1825,13 14 58 81 82 16
433,57 14 58 22 29 115 116 30 51 54
997,87 88 89 116 219 209 117
2346,31 81 94 95 89 203 211 23 114 37
927,6 2 115 116 30 23 53
312,31 14 45 50 29 115 116 30 23 53
2222,48 45 284 22 23 66
1835,93 94 95 82 59 98
846,206 180 181 178 203 204
2464,48 45 284 22 23 68
2263,80 73 233 14 15 56
205,100 22 23 23 59 98
1862,87 88 89 86 23 23 23 59 98
2793,31 14 45 50 63 14 45 50 85 86 5
1813,31 14 58 22 29 115 116 175 176
1975,87 88 89 269 82 19
355,6 2 115 116 30 23 24
1495,125 88 94 95 122 89 86 23 117
373,31 14 58 29 115 116 30 23 117
2313,125 88 142 115 116 30 23 285 54
1283,100 63 64 104 19
1354,129 22 22 23 23 155
850,39 33 14 15 16
1898,251 22 73 74 75
1234,244 22 103 104 16
900,13 218 219 209 117
862,31 14 58 22 185 180 181 186 59 15 19
1615,32 113 73 163 22 29 30 5
762,43 14 45 50 22 81 82 16
2596,31 14 58 185 180 181 296 204
2781,130 22 29 30 5
2768,48 45 46 15 70
452,147 142 143 16
1094,44 45 60 14 15 64 68
1602,57 14 110 14 15 40
2234,87 88 89 116 30 23 285 54
1904,57 14 58 22 22 23 164 90
493,120 121 122 119 82 23 68
2661,69 22 85 88 89 91
2774,31 14 45 50 22 22 23 66
938,92 29 115 116 219 221
2041,48 45 50 22 223 94 115 116 175 68
838,179 180 181 205
1160,69 73 163 73 77 22 23 53
1441,151 210 218 219 215 216
2325,48 45 46 15 83
1938,92 29 115 88 121 94 115 116 175 176
1907,67 22 23 164 74 23 104 19
1603,57 14 110 14 15 56
59,55 22 23 51 46 47
58,55 22 23 51 46 52
235,67 22 22 23 68
681,151 73 77 22 23 53
1826,57 14 58 81 82 16
2389,76 160 161 159
1853,21 22 23 23 23 59 98
230,67 22 22 23 66
229,67 22 22 23 65
81,48 45 46 15 41
1122,13 81 82 23 59 229
98,48 45 46 15 40
354,6 2 115 116 30 23 117
603,69 73 74 75
311,31 14 45 50 29 115 116 30 23 117
2124,13 103 104 23 51 46 47
2123,13 103 104 23 51 46 52
1866,109 58 59 15 40
139,48 45 46 15 56
1865,109 58 59 15 41
1300,69 73 77 22 23 59 98
1642,31 103 22 23 114 35
1855,172 22 23 23 23 59 98
2328,84 14 45 50 22 210 211 114 37
1475,62 22 29 115 116 30 59 98
2416,87 88 89 116 30 23 23 68
2556,67 63 64 23 19
1241,31 103 22 23 114 36
1265,151 22 81 94 95 224 23 117
1724,213 22 22 23 169
2558,67 63 64 23 16
1240,31 103 22 23 114 37
1693,80 73 233 14 15 40
1694,80 73 233 14 15 41
1814,31 14 58 22 29 115 116 175 68
2705,13 14 45 50 22 103 104 16
901,13 218 219 209 53
1662,13 81 82 23 164 74 79
635,13 103 104 23 23 162
1174,31 14 45 50 22 81 231 232 89 86 23 78 90
1663,13 81 82 23 164 74 66
2524,62 73 163 22 81 82 16
1524,39 113 22 22 85 88 89 91
1828,44 45 50 22 29 115 88 89 91
1284,100 63 64 104 23 68
2051,129 22 23 51 46 52
984,31 218 219 224 23 78 74 79
1886,279 22 23 150
2470,31 14 45 50 292 293 5
985,31 218 219 224 23 78 74 75
1057,151 22 22 23 23 164 90
1743,120 121 122 267 176
1192,80 73 233 14 15 16
2288,38 113 22 85 86 5
2699,154 22 23 59 98
48,48 45 46 15 19
2052,129 22 23 51 46 47
1793,13 14 15 275 276
2221,48 45 284 22 23 53
181,62 81 94 95 89 86 23 78 90
82,48 45 46 15 16
1534,31 81 94 95 89 86 23 53
1805,57 133 136 22 29 115 116 30 23 277
2632,20 8 110 111 15 40
822,102 194 195 116 30 59 15 19
376,20 8 58 22 23 126
2496,13 63 64 164 90
2798,102 194 195 116 30 59 15 16
1993,44 45 50 22 29 115 116 143 149
1285,100 63 64 104 23 162
1115,48 45 60 14 58 22 29 30 5
2232,151 22 29 115 116 30 23 285 54
2042,92 223 94 115 116 175 176
2732,44 45 60 14 45 50 63 14 15 16
767,20 8 110 111 15 41
1657,32 113 22 103 22 29 30 5
1307,242 22 22 29 115 116 30 23 78 90
1108,109 58 59 15 19
2193,31 22 22 22 85 86 5
955,57 14 45 50 22 23 150
1396,151 22 29 115 88 89 91
2040,48 45 50 22 223 94 115 116 175 176
720,92 29 115 88 94 115 116 175 176
1024,48 45 50 22 63 14 15 16
1084,39 33 14 58 22 29 30 5
270,71 14 110 14 15 16
2431,48 45 46 15 111 98
2562,62 22 63 14 15 16
2686,48 45 50 63 64 65
1768,31 180 181 178 269 82 19
2294,147 142 143 144
77,57 14 58 22 29 30 5
451,147 142 143 117
766,20 8 110 111 15 19
934,31 14 110 14 45 50 22 29 115 116 30 23 117
799,31 14 58 185 186 5
276,21 22 23 59 15 19
132,62 81 82 16
2376,92 29 115 177 178 91
2250,49 50 22 22 22 23 65
768,20 8 110 111 15 16
1271,246 22 23 150
1857,172 22 23 23 23 59 15 56
2187,109 58 59 15 16
855,32 33 14 58 185 180 181 207
1177,31 81 231 232 89 86 23 78 74 79
1471,13 81 82 23 59 98
1533,31 81 94 95 89 86 23 117
931,39 113 22 29 115 116 30 23 117
803,71 14 110 14 15 40
2608,62 22 63 14 15 40
158,44 45 46 15 64 23 66
2387,76 160 161 290
804,71 14 110 14 15 41
907,151 208 218 219 211 68
2576,102 194 195 116 30 59 15 83
2151,87 88 89 282 5
2773,31 14 45 50 22 22 23 65
2007,67 63 64 68
721,92 29 115 88 94 115 116 175 68
2435,43 14 17 22 29 115 116 30 51 54
954,57 14 45 50 22 23 167
1181,27 22 29 30 5
365,31 14 58 22 29 115 116 30 59 9 10
1856,172 22 23 23 23 59 15 19
2183,39 199 202 177 178 91
1380,69 22 223 94 95 122 124
827,38 199 200 37
1998,125 88 268 88 142 115 177 178 91
2361,13 14 17 22 29 115 116 30 59 9 26
1276,156 22 103 104 16
2212,48 45 46 15 61 46 52
364,31 14 58 22 29 115 116 30 59 9 26
1545,125 88 121 94 115 116 95 123
625,129 22 22 81 82 16
1562,62 73 163 22 23 128
2073,32 113 22 22 29 115 88 89 91
1716,213 22 23 150
637,156 22 22 103 104 16
1728,151 22 22 23 23 59 15 19
1851,32 113 22 22 23 59 98
2290,38 113 22 85 88 89 91
1440,151 210 218 219 215 144
101,67 63 64 66
498,69 22 81 94 95 89 116 30 23 117
823,102 194 195 116 30 59 15 56
1047,43 14 58 73 74 75
2268,57 14 58 22 223 224 5
1557,62 22 22 223 94 95 122 124
1328,76 160 161 247
2555,69 63 64 23 152
1308,151 22 22 29 115 116 30 23 78 90
1848,31 14 58 22 23 114 36
2149,280 281 282 5
1119,154 22 23 59 229
584,42 14 17 22 29 30 5
1330,76 160 161 248
1563,62 73 163 22 23 150
1847,31 14 58 22 23 114 37
2625,69 22 22 22 23 23 68
2643,31 14 45 60 14 15 61 46 52
939,92 29 115 116 219 19
1262,55 22 223 224 5
2125,48 45 50 22 103 104 16
436,57 14 45 50 29 115 116 30 51 54
1162,80 73 163 73 77 22 23 164 90
648,31 103 22 23 104 19
615,69 22 22 23 165
1034,129 22 23 150
1228,151 22 22 29 30 5
1355,69 22 22 23 169
1552,13 81 94 95 224 23 117
351,42 14 58 29 30 5
2709,154 22 23 104 23 53
929,92 2 115 116 30 23 59 98
2293,147 142 143 260
2128,13 103 104 23 104 23 51 46 52
2267,42 14 58 22 223 224 5
2116,31 14 58 81 94 95 89 86 23 117
1040,170 22 23 23 164 90
392,62 22 81 82 16
2405,12 8 110 111 15 64 66
1209,42 237 22 23 24
1273,246 22 103 104 16
698,87 88 89 116 95 82 19
925,31 218 219 89 116 30 23 117
388,129 22 23 66
523,62 22 22 22 22 23 65
1412,129 22 23 68
1930,31 14 58 22 22 85 88 94 95 122 124
1105,32 113 63 14 15 61 46 52
1594,43 14 110 14 15 56
290,13 14 45 50 22 29 30 5
1972,31 81 268 269 89 116 30 23 117
908,151 208 218 219 211 212
1520,38 113 22 22 85 86 5
1208,42 237 22 23 16
2762,69 22 22 23 51 46 52
2004,67 22 63 64 68
1920,92 85 88 94 115 116 30 23 53
408,67 22 63 64 66
407,67 22 63 64 65
1593,43 14 110 14 15 40
2239,62 81 94 95 89 86 51 54
1058,151 22 22 23 23 164 74 79
1309,151 22 22 29 115 116 30 23 78 74 79
71,21 22 23 59 9 26
2755,173 174 115 88 89 91
2369,125 88 94 115 88 94 115 116 30 51 54
2655,84 14 110 14 58 85 86 5
163,80 73 77 22 23 23 65
162,80 73 77 22 23 23 66
624,80 73 163 22 22 81 82 16
209,31 14 58 22 22 23 101
1917,151 63 14 58 22 29 115 116 95 123
72,21 22 23 59 9 10
775,43 14 110 14 15 16
2327,84 14 45 50 22 210 211 65
950,206 180 181 178 116 3 222
460,43 14 17 22 29 115 116 30 59 148
2554,69 63 64 23 19
1106,49 60 14 15 16
31,13 14 15 34 37
353,1 2 115 116 30 23 117
2341,39 113 210 202 88 89 91
389,13 81 82 23 68
391,13 81 82 23 66
2597,31 14 58 185 180 181 296 297
639,13 103 104 23 164 90
2198,48 45 46 15 234 90
210,31 14 58 22 22 23 66
1510,31 14 58 22 22 23 65
1943,87 177 178 116 95 123
1973,31 81 268 269 89 116 30 23 53
2143,21 22 23 23 23 23 23 114 37
1579,13 14 45 50 22 223 224 5
1981,31 142 143 89 269 123
2756,92 174 115 88 89 91
2176,92 223 94 115 116 30 23 171
1092,49 60 14 15 40
1150,13 81 82 23 53
