id,node_type
10,OpenRoundBracket DOWN
108,innerStatementList|innerStatement|statement|expressionStatement UP
111,statement|blockStatement DOWN
79,Ampersand UP
265,BooleanOr UP
178,innerStatement|statement|switchStatement UP
51,ObjectOperator DOWN
31,functionCallName|classConstant UP
132,Colon DOWN
102,squareCurlyExpression DOWN
105,assignable|chain|chainOrigin|chainBase|keyedVariable DOWN
165,actualArgument|expression|constant|literalConstant|stringConstant|Label UP
40,innerStatement|statement|expressionStatement DOWN
238,interpolatedStringPart|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
13,expression DOWN
123,innerStatement|statement|ifStatement UP
190,As DOWN
64,VarName DOWN
246,BooleanAnd UP
251,formalParameterList|formalParameter|variableInitializer|VarName DOWN
203,Less UP
243,chainOrigin|chainBase|keyedVariable UP
163,Return DOWN
96,parentheses UP
78,qualifiedStaticTypeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
114,statement|ifStatement DOWN
128,actualArgument|expression|constant|literalConstant|BooleanConstant UP
158,Bang UP
48,chainOrigin|chainBase|keyedVariable|VarName UP
172,Case UP
3,actualArguments|arguments DOWN
263,Minus DOWN
194,expression|parentheses UP
89,expression|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
87,Dot DOWN
261,formalParameter|variableInitializer UP
146,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|RequireOnce DOWN
183,actualArgument|expression|constant|Null UP
175,Default DOWN
62,classStatement UP
198,forInit|expressionList|expression UP
98,IsEqual DOWN
204,forUpdate|expressionList|expression UP
150,expression|constant|literalConstant|numericConstant|Decimal DOWN
35,DoubleColon UP
161,innerStatement|statement|returnStatement UP
230,innerStatement|statement UP
4,actualArgument|expression|string|SingleQuoteString DOWN
49,expression|chain UP
15,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Exit DOWN
22,constantInititalizer UP
147,Global DOWN
226,classEntryType|Class DOWN
38,identifier|Constructor UP
131,QuestionMark UP
55,SemiColon UP
233,topStatement|statement|switchStatement UP
171,Break DOWN
143,expression|constant|literalConstant|stringConstant|Label DOWN
222,Function DOWN
42,Comma UP
70,globalVar|VarName UP
149,actualArgument|expression|chain|chainOrigin|functionCall DOWN
206,Inc DOWN
155,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable DOWN
239,interpolatedStringPart|StringPart DOWN
68,innerStatement|statement|globalStatement DOWN
138,expression|newExpr DOWN
247,blockStatement UP
26,formalParameterList|formalParameter|variableInitializer DOWN
268,constantInititalizer|constant|literalConstant|numericConstant|Decimal UP
85,actualArgument|expression UP
209,expression|constant|literalConstant|BooleanConstant DOWN
189,chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
69,globalVar|VarName DOWN
229,identifier|Default UP
260,constantInititalizer|constant|literalConstant|numericConstant|Decimal DOWN
153,expression|chain|chainOrigin|chainBase|keyedVariable DOWN
201,expressionList|expression DOWN
90,actualArgument|expression|chain UP
9,expression|chain|chainOrigin|functionCall DOWN
157,assignable|chain DOWN
74,chain|chainOrigin|functionCall DOWN
232,identifier|Default DOWN
45,memberAccess DOWN
188,innerStatementList|innerStatement|statement|foreachStatement DOWN
184,Greater DOWN
235,DoubleQuote UP
256,formalParameter|variableInitializer|VarName DOWN
52,innerStatementList UP
94,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Array UP
137,expression|newExpr UP
177,Switch UP
95,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Array DOWN
116,elseStatement UP
197,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Empty DOWN
144,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|RequireOnce UP
218,classEntryType|Class UP
6,actualArgument|expression|string|SingleQuoteString UP
129,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
65,OpenCurlyBracket DOWN
142,expression|constant|literalConstant|stringConstant|Label UP
100,OpenSquareBracket UP
29,Eq UP
117,elseStatement DOWN
250,topStatement|functionDeclaration DOWN
73,chain|chainOrigin|functionCall UP
60,CloseCurlyBracket DOWN
186,Foreach UP
91,actualArgument|expression|chain DOWN
212,innerStatement|statement|foreachStatement DOWN
126,castOperation|IntType UP
156,assignable|chain UP
185,Greater UP
191,chain|chainOrigin|chainBase|keyedVariable|VarName UP
187,innerStatementList|innerStatement|statement|foreachStatement UP
237,actualArgument|expression|string DOWN
67,innerStatement|statement|globalStatement UP
215,innerStatement|statement|forStatement DOWN
25,formalParameterList|formalParameter|variableInitializer UP
208,IsNotEq UP
244,chainOrigin|chainBase|keyedVariable DOWN
266,assignmentOperator|Concaequal DOWN
81,expression|string|SingleQuoteString DOWN
258,expression|string DOWN
242,interpolatedStringPart|StringPart UP
259,Minus UP
195,expression|parentheses DOWN
182,actualArgument|expression|constant|Null DOWN
225,phpBlock DOWN
2,actualArguments|arguments UP
148,actualArgument|expression|chain|chainOrigin|functionCall UP
124,innerStatement|statement|ifStatement DOWN
5,CloseRoundBracket DOWN
121,Else DOWN
12,expression UP
14,LogicalOr DOWN
120,innerStatementList|innerStatement|statement|ifStatement DOWN
18,topStatement|statement|expressionStatement UP
46,keyedFieldName|keyedSimpleFieldName|identifier|Label DOWN
166,innerStatementList|innerStatement|statement|returnStatement UP
254,formalParameterList UP
101,squareCurlyExpression UP
130,QuestionMark DOWN
59,Parent_ DOWN
66,Global UP
262,formalParameter|variableInitializer DOWN
80,assignmentOperator|Eq DOWN
92,actualArgument|expression|constant|literalConstant|numericConstant|Decimal DOWN
110,statement|blockStatement UP
104,assignable|chain|chainOrigin|chainBase|keyedVariable UP
264,BooleanOr DOWN
77,Ampersand DOWN
179,innerStatement|statement|switchStatement DOWN
97,parentheses DOWN
24,VarName UP
167,innerStatementList|innerStatement|statement|returnStatement DOWN
50,expression|chain DOWN
202,Less DOWN
160,Return UP
1,OpenRoundBracket UP
109,innerStatementList|innerStatement|statement|expressionStatement DOWN
252,formalParameterList|formalParameter|variableInitializer|VarName UP
37,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
20,SemiColon DOWN
34,identifier|Constructor DOWN
84,expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
234,topStatement|statement|switchStatement DOWN
199,forInit|expressionList|expression DOWN
162,innerStatement|statement|returnStatement DOWN
151,expression|constant|literalConstant|numericConstant|Decimal UP
214,innerStatement|statement|forStatement UP
39,innerStatement|statement|expressionStatement UP
33,DoubleColon DOWN
133,Colon UP
16,CloseRoundBracket UP
257,expression|string UP
213,For UP
267,assignmentOperator|Concaequal UP
71,qualifiedStaticTypeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
83,expression|string|SingleQuoteString UP
170,innerStatement|statement|breakStatement DOWN
207,IsNotEq DOWN
221,Extends DOWN
82,assignmentOperator|Eq UP
93,actualArgument|expression|constant|literalConstant|numericConstant|Decimal UP
249,topStatement|functionDeclaration UP
30,Parent_ UP
113,statement|ifStatement UP
75,identifier|Label UP
174,switchBlock DOWN
54,chainOrigin|chainBase|keyedVariable|VarName DOWN
112,If UP
125,castOperation|IntType DOWN
136,New UP
245,BooleanAnd DOWN
53,innerStatementList DOWN
56,OpenCurlyBracket UP
196,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Empty UP
224,phpBlock UP
139,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
43,ObjectOperator UP
32,functionCallName|classConstant DOWN
240,DoubleQuote DOWN
164,actualArgument|expression|constant|literalConstant|stringConstant|Label DOWN
76,assignable|chain|chainOrigin|chainBase|keyedVariable|VarName UP
227,topStatement|statement|ifStatement UP
8,expression|chain|chainOrigin|functionCall UP
86,actualArgument|expression DOWN
210,expression|constant|literalConstant|BooleanConstant UP
107,CloseSquareBracket UP
219,topStatement|classDeclaration UP
28,Array DOWN
47,keyedFieldName|keyedSimpleFieldName|identifier|Label UP
57,methodBody|blockStatement UP
211,innerStatement|statement|foreachStatement UP
220,topStatement|classDeclaration DOWN
255,formalParameterList DOWN
135,arguments DOWN
145,assignable|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
140,typeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
106,OpenSquareBracket DOWN
122,CloseCurlyBracket UP
44,memberAccess UP
21,Array UP
181,Switch DOWN
23,constantInititalizer DOWN
19,topStatement|statement|expressionStatement DOWN
103,CloseSquareBracket DOWN
72,identifier|Label DOWN
115,Else UP
118,If DOWN
231,innerStatement|statement DOWN
134,arguments UP
119,innerStatementList|innerStatement|statement|ifStatement UP
58,methodBody|blockStatement DOWN
228,topStatement|statement|ifStatement DOWN
176,Default UP
88,Dot UP
180,Case DOWN
223,Extends UP
17,LogicalOr UP
159,Bang DOWN
169,innerStatement|statement|breakStatement UP
217,For DOWN
36,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
192,As UP
41,Comma DOWN
236,actualArgument|expression|string UP
154,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable UP
248,blockStatement DOWN
216,Inc UP
205,forUpdate|expressionList|expression DOWN
63,classStatement DOWN
241,interpolatedStringPart|chain|chainOrigin|chainBase|keyedVariable|VarName UP
27,Eq DOWN
61,Function UP
193,Foreach DOWN
168,Break UP
7,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Label UP
173,switchBlock UP
11,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Exit UP
127,actualArgument|expression|constant|literalConstant|BooleanConstant DOWN
152,expression|chain|chainOrigin|chainBase|keyedVariable UP
253,formalParameter|variableInitializer|VarName UP
141,New DOWN
99,IsEqual UP
200,expressionList|expression UP
