id,path
28,28 20 24 10 15 16 17
127,9 10 11 7 3 53
286,9 10 15 81 82 16 11 12
150,57 58 59 56 11 43
106,44 10 10 11 47 48
154,50 46 55 58 59 17
19,23 24 10 11 12
105,44 10 10 11 47 49
124,39 2 3 53
199,72 67 69 74 75 76
262,23 30 10 15 81 82 16 11 62
75,9 10 11 7 42
137,45 46 10 55 56 47 49
220,1 2 6 10 15 81 82 16 11 25 21 22
138,45 46 10 55 56 47 48
11,9 10 15 16 17
219,1 2 6 10 15 81 82 16 11 25 21 26
111,9 10 11 11 11 51
172,50 65 66 49
20,23 24 10 11 27
69,40 2 3 4
197,45 65 67 69 74 75 76
232,28 20 24 10 15 81 82 16 11 25 21 26
58,9 10 11 31 21 22
204,77 78 79 61 11 7 3 8
92,45 46 10 11 43
56,9 10 11 31 21 26
267,34 20 30 10 15 81 82 16 11 7 42
91,45 46 10 11 51
163,1 2 6 10 60 61 4
5,9 10 11 7 13
238,29 10 15 81 82 16 11 12
242,19 20 30 10 15 81 82 16 11 25 21 26
218,1 2 6 10 15 81 82 16 11 25 32
249,28 20 30 10 15 81 82 16 11 12
190,72 63 69 70 68 17
193,73 74 75 70 64 7 3 35
252,28 20 24 10 15 81 82 16 11 12
170,45 65 66 48
236,29 10 15 81 82 16 11 25 21 26
116,44 10 10 10 15 16 17
113,14 10 11 11 11 47 48
169,18 2 6 63 64 17
133,18 2 6 15 16 17
171,45 65 66 49
303,18 2 6 10 15 81 82 16 7 42
7,9 10 11 7 3 4
251,28 20 24 10 15 81 82 16 11 62
136,50 46 10 55 56 47 49
174,57 67 68 66 48
175,57 67 68 17
192,73 74 75 70 64 7 3 8
16,19 20 21 22
276,39 2 6 10 15 81 82 16 11 12
52,19 20 21 33
112,14 10 11 11 11 47 49
33,23 30 31 21 27
151,44 10 55 58 59 17
32,23 30 31 21 26
30,19 20 21 27
34,23 30 31 21 22
173,57 67 68 66 49
194,73 74 75 70 64 7 3 4
230,19 20 24 10 15 81 82 16 11 25 32
135,50 46 10 55 56 51
54,23 30 31 21 33
275,39 2 6 10 15 81 82 16 11 62
77,9 10 11 7 3 36
76,9 10 11 7 3 35
15,18 2 6 10 15 16 17
6,9 10 11 7 3 8
176,45 65 67 68 17
191,73 74 75 70 64 7 42
37,19 20 24 10 11 31 32
217,5 6 10 15 81 82 16 11 25 21 26
147,57 58 59 56 11 47 49
179,1 2 6 63 69 70 68 71
161,14 10 60 61 4
148,57 58 59 56 11 47 48
255,14 10 15 81 82 16 11 31 32
97,50 46 10 10 11 51
143,44 10 55 56 47 49
115,14 10 11 11 11 43
21,19 20 24 10 11 12
144,44 10 55 56 47 48
206,1 2 6 10 60 78 79 75 80
79,14 10 11 7 3 35
273,72 15 81 82 16 11 7 3 35
49,19 20 30 10 15 16 17
80,14 10 11 7 3 36
81,14 10 11 7 3 37
152,52 55 58 59 17
264,19 20 30 10 15 81 82 16 11 12
259,72 15 81 82 16 11 62
283,72 15 81 82 16 11 43
180,1 2 6 63 69 70 68 66 49
297,72 15 81 82 16 11 7 3 53
274,38 2 6 10 15 81 82 16 11 62
295,45 46 10 10 15 81 82 16 11 7 42
212,18 60 78 79 75 80
239,72 15 81 82 16 11 31 32
100,45 46 10 10 11 47 48
99,45 46 10 10 11 47 49
126,41 6 7 3 53
222,18 2 6 10 15 81 82 16 11 25 21 26
224,18 2 6 10 15 81 82 16 11 12
83,39 2 6 10 15 16 17
181,38 2 6 63 69 70 68 71
223,18 2 6 10 15 81 82 16 11 25 21 22
202,77 78 79 61 11 12
205,41 6 10 60 78 79 75 80
117,52 10 10 15 16 17
272,72 15 81 82 16 11 7 3 8
13,5 6 10 15 16 17
71,41 6 7 3 35
73,41 6 7 3 37
72,41 6 7 3 36
128,14 10 11 7 3 53
293,50 46 10 10 15 81 82 16 11 12
114,14 10 11 11 11 51
90,50 46 47 49
237,29 10 15 81 82 16 11 25 21 22
241,19 20 30 10 15 81 82 16 11 25 32
240,23 30 10 15 81 82 16 11 25 32
281,18 2 6 10 15 81 82 16 11 43
187,72 63 69 70 68 71
288,44 10 15 81 82 16 11 12
84,40 2 6 10 15 16 17
39,19 20 24 10 11 31 21 27
298,54 2 6 10 15 81 82 16 7 42
235,29 10 15 81 82 16 11 25 32
38,19 20 24 10 11 31 21 26
74,41 6 7 3 4
26,23 24 10 15 16 17
36,23 24 10 11 31 21 26
284,72 15 81 82 16 17
70,41 6 7 3 8
119,50 46 10 10 15 16 17
14,1 2 6 10 15 16 17
88,45 46 47 48
9,14 10 11 7 3 8
229,72 15 81 82 16 11 27
10,14 10 11 7 3 4
89,45 46 47 49
129,54 2 6 10 15 16 17
198,50 65 67 69 74 75 76
149,57 58 59 56 11 51
44,14 10 11 31 32
227,72 15 81 82 16 11 25 21 22
155,41 6 10 15 16 17
164,38 2 6 10 60 61 4
270,28 20 30 10 15 81 82 16 11 7 3 8
2,5 6 7 3 8
87,44 10 15 16 17
285,9 10 15 81 82 16 11 62
292,50 46 10 10 15 81 82 16 11 62
3,5 6 7 3 4
201,77 78 79 61 11 62
280,18 2 6 10 15 81 82 16 11 62
226,72 15 81 82 16 11 25 21 26
228,72 15 81 82 16 11 12
278,40 2 6 10 15 81 82 16 11 12
209,38 2 6 10 60 78 79 75 70 64 7 42
158,1 60 61 11 7 42
101,52 10 10 11 51
50,29 20 30 10 15 16 17
210,18 2 6 10 60 78 79 75 80
246,28 20 30 10 15 81 82 16 11 25 32
300,39 2 6 10 15 81 82 16 7 3 8
29,29 10 15 16 17
216,5 6 10 15 81 82 16 11 25 32
96,45 46 10 10 11 51
157,1 60 61 11 12
82,38 2 6 10 15 16 17
279,40 2 6 10 15 81 82 16 11 43
107,52 10 11 47 49
162,41 6 10 60 61 4
248,28 20 30 10 15 81 82 16 11 25 21 22
108,52 10 11 47 48
243,29 20 30 10 15 81 82 16 11 25 32
166,41 6 63 64 17
130,41 6 15 16 17
156,1 60 61 11 62
247,28 20 30 10 15 81 82 16 11 25 21 26
203,77 78 79 61 11 7 42
178,41 6 63 69 70 68 71
207,1 2 6 10 60 78 79 75 70 64 7 42
55,9 10 11 31 32
301,54 2 6 10 15 81 82 16 7 3 8
266,34 20 30 10 15 81 82 16 11 12
